//Treasure Gulf, Naval Base, Skeletar Island, Abaddon 1-4 portal list							
//ID	binded entity ID	incident type	entity placement location	entity placement direction	Target map name	Target map location	Activate Determinant Requirement	Name
1	2492	4	76123,89623	-1	jialebi	9216,64032	1	藏宝to骷髅
2	2492	4	42277,87421	-1	jialebi	89726,61473	1	骷髅to海军
3	2492	4	41275,63538	-1	jialebi	18735,8420	1	骷髅海上迷宫
4	2492	4	7869,31585	-1	jialebi	62788,35774	1	骷髅海上迷宫
5	2492	4	63481,54773	-1	jialebi	16478,64027	1	骷髅海上迷宫
6	2492	4	45932,8825	-1	jialebi	63378,62862	1	骷髅海上迷宫
7	193	1	144711,100611	-1	jialebi	158223,110873	1	地下船坞to军械库
8	193	1	158223,110873	-1	jialebi	144711,100611	1	军械库to地下船坞
9	193	1	92811,81811	-1	jialebi	136111,98411	1	实验室Ato船坞
10	193	1	92711,92911	-1	jialebi	136111,98411	1	实验室Bto船坞
11	193	1	92111,98011	-1	jialebi	136111,98411	1	实验室Cto船坞
12	2492	4	61011,64211	-1	jialebi	51411,104611	1	骷髅to藏宝海湾
13	2492	4	105311,22511	-1	jialebi	53211,102111	1	海军to藏宝海湾
14	2492	4	60611,108311	-1	magicsea	220232,278111	1	藏宝海湾to魔女
15	2492	4	73411,103211	-1	magicsea	87711,375611	1	藏宝海湾to魔女
16	2492	4	69711,92011	-1	magicsea	101011,37400	1	藏宝海湾to魔女
//17	2492	4	50711,103711	-1	garner	230011,289511	1	藏宝海湾to白银	
18	193	1	107225,13675	-1	jialebi	124875,101125	1	藏宝海湾to魔女
19	193	1	125225,100575	-1	jialebi	113175,101225	1	藏宝海湾to魔女
20	193	1	97475,99425	-1	jialebi	96800,99300	1	藏宝海湾to魔女
21	193	1	97475,90625	-1	jialebi	96900,90800	1	藏宝海湾to魔女
22	193	1	97475,83025	-1	jialebi	96700,83000	1	藏宝海湾to魔女
23	193	1	21100,95100	-1	hell	3300,3300	1	藏宝海湾to魔女
